Oil well operation parameters (2013 - 2021 y). Well ? 807,,,,,,,,
,,,,,,,,
Date,"
Oil volume (m3/day)",Volume of liquid (m3/day),"
Gas volume (m3/day)",Water volume (m3/day),Water cut (%) ,"
Working hours","
Dynamic level (m)","
Reservoir pressure (atm)"
01-01-2013,49,70,13055,21,29,24,1819,214
02-01-2013,49,70,13055,21,29,24,1836,214
03-01-2013,49,70,13055,21,29,24,1788,214
04-01-2013,49,70,13055,21,29,24,1789,214
05-01-2013,44,70,11768,26,36,24,1825,214
06-01-2013,44,70,11768,26,36,24,1781,214
07-01-2013,43,68,11432,25,36,24,1790,214
08-01-2013,43,68,11432,25,36,24,1784,214
09-01-2013,43,68,11432,25,36,24,1831,214
10-01-2013,43,68,11432,25,36,24,1831,214
11-01-2013,43,68,11432,25,36,24,1828,214
12-01-2013,42,68,11253,26,37,24,1761,214
13-01-2013,43,69,11418,26,37,24,1789,214
14-01-2013,43,69,11418,26,37,24,1764,213
15-01-2013,44,71,11749,27,37,24,1764,213
16-01-2013,44,71,11749,27,37,24,1764,213
17-01-2013,44,71,11749,27,37,24,1754,213
18-01-2013,44,71,11749,27,37,24,1763,213
19-01-2013,46,70,12319,24,33,24,1768,213
20-01-2013,46,70,12319,24,33,24,1785,213
21-01-2013,44,70,11768,26,36,24,1788,213
22-01-2013,44,70,11768,26,36,24,1779,213
23-01-2013,44,70,11768,26,36,24,1786,213
24-01-2013,43,69,11600,26,36,24,1769,213
25-01-2013,43,69,11418,26,37,24,1781,213
26-01-2013,43,69,11418,26,37,24,1789,213
27-01-2013,43,69,11418,26,37,24,1785,213
28-01-2013,43,69,11418,26,37,24,1787,213
29-01-2013,43,69,11418,26,37,24,1779,213
30-01-2013,43,69,11418,26,37,24,1780,213
31-01-2013,47,70,12503,23,32,24,1780,213
01-02-2013,47,70,12503,23,32,24,1774,213
02-02-2013,47,72,12671,25,33,24,1766,213
03-02-2013,47,75,12608,28,36,24,1783,213
04-02-2013,47,75,12608,28,36,24,1770,213
05-02-2013,48,76,12776,28,36,24,1781,213
06-02-2013,49,78,13113,29,36,24,1773,213
07-02-2013,49,78,13113,29,36,24,1772,213
08-02-2013,49,78,13113,29,36,24,1764,213
09-02-2013,49,78,13113,29,36,24,1766,212
10-02-2013,48,78,12908,30,37,24,1763,212
11-02-2013,48,78,12908,30,37,24,1783,212
12-02-2013,49,79,13073,30,37,24,1784,212
13-02-2013,46,78,12293,32,40,24,1782,212
14-02-2013,46,78,12293,32,40,24,1793,212
15-02-2013,42,71,11190,29,40,24,1787,212
16-02-2013,41,70,11032,29,40,24,1781,212
17-02-2013,41,70,11032,29,40,24,1783,212
18-02-2013,41,70,11032,29,40,24,1788,212
19-02-2013,45,70,11952,25,35,24,1792,212
20-02-2013,45,70,12136,25,34,24,1794,212
21-02-2013,46,72,12482,26,34,24,1819,212
22-02-2013,47,73,12656,26,34,24,1837,212
23-02-2013,47,73,12656,26,34,24,1830,212
24-02-2013,44,73,11889,29,38,24,1838,212
25-02-2013,44,73,11889,29,38,24,1843,212
26-02-2013,48,74,12829,26,34,24,1854,212
27-02-2013,48,74,12829,26,34,24,1877,212
28-02-2013,47,73,12656,26,34,24,1939,212
01-03-2013,44,73,11889,29,38,24,1843,212
02-03-2013,44,73,11889,29,38,24,1849,212
03-03-2013,45,73,12080,28,37,24,1861,212
04-03-2013,45,73,12080,28,37,24,1832,212
05-03-2013,46,75,12411,29,37,24,1831,212
06-03-2013,46,74,12246,28,37,24,1847,212
07-03-2013,43,74,11663,31,40,24,1845,211
08-03-2013,43,74,11663,31,40,24,1853,211
09-03-2013,43,74,11663,31,40,24,1940,211
10-03-2013,43,74,11663,31,40,24,1852,211
11-03-2013,43,74,11663,31,40,24,1854,211
12-03-2013,43,74,11663,31,40,24,1855,211
13-03-2013,43,74,11663,31,40,24,1861,211
14-03-2013,43,74,11663,31,40,24,1847,211
15-03-2013,43,74,11663,31,40,24,1854,211
16-03-2013,43,74,11663,31,40,24,1823,211
17-03-2013,43,74,11663,31,40,24,1831,211
18-03-2013,45,77,12136,32,40,24,1901,211
19-03-2013,45,77,12136,32,40,24,1887,211
20-03-2013,44,75,11820,31,40,24,1851,211
21-03-2013,45,76,11978,31,40,24,1872,211
22-03-2013,45,77,12136,32,40,24,1869,211
23-03-2013,45,77,12136,32,40,24,1881,211
24-03-2013,43,73,11505,30,40,24,1874,211
25-03-2013,43,74,11663,31,40,24,1863,211
26-03-2013,43,74,11663,31,40,24,1870,211
27-03-2013,43,74,11663,31,40,24,1836,211
28-03-2013,45,77,12136,32,40,24,1853,211
29-03-2013,43,73,11505,30,40,24,1862,211
30-03-2013,43,73,11505,30,40,24,1867,211
31-03-2013,39,73,10546,34,45,24,1862,211
01-04-2013,41,77,11124,36,45,24,1858,211
02-04-2013,44,77,11731,33,42,24,1858,210
03-04-2013,44,77,11731,33,42,24,1857,210
04-04-2013,44,77,11731,33,42,24,1857,210
05-04-2013,44,77,11731,33,42,24,1841,210
06-04-2013,44,77,11731,33,42,24,1849,210
07-04-2013,44,77,11731,33,42,24,1862,210
08-04-2013,44,77,11731,33,42,24,1849,210
09-04-2013,44,77,11731,33,42,24,1877,210
10-04-2013,44,77,11731,33,42,24,1829,210
11-04-2013,44,77,11731,33,42,24,1841,210
12-04-2013,39,77,10517,38,48,24,1833,210
13-04-2013,39,77,10517,38,48,24,1846,210
14-04-2013,39,77,10517,38,48,24,1852,210
15-04-2013,39,77,10517,38,48,24,1853,210
16-04-2013,39,77,10517,38,48,24,1847,210
17-04-2013,39,77,10517,38,48,24,1861,210
18-04-2013,39,77,10517,38,48,24,1896,210
19-04-2013,39,77,10517,38,48,24,1985,210
20-04-2013,39,77,10517,38,48,24,1873,210
21-04-2013,39,77,10517,38,48,24,1863,210
22-04-2013,45,77,12136,32,40,24,1874,210
23-04-2013,45,77,12136,32,40,24,1870,210
24-04-2013,43,77,11529,34,43,24,1876,210
25-04-2013,43,77,11529,34,43,24,1865,210
26-04-2013,43,77,11529,34,43,24,1871,210
27-04-2013,43,77,11529,34,43,24,1870,210
28-04-2013,43,78,11678,35,43,24,1877,209
29-04-2013,43,78,11678,35,43,24,1877,209
30-04-2013,42,78,11269,36,45,24,1871,209
01-05-2013,40,78,10859,38,47,24,1874,209
02-05-2013,40,78,10859,38,47,24,1843,209
03-05-2013,40,78,10859,38,47,24,1859,209
04-05-2013,44,79,11828,35,43,24,1865,209
05-05-2013,44,79,11828,35,43,24,1872,209
06-05-2013,44,79,11828,35,43,24,1877,209
07-05-2013,44,79,11828,35,43,24,1876,209
08-05-2013,44,79,11828,35,43,24,1871,209
09-05-2013,44,79,11828,35,43,24,1873,209
10-05-2013,45,79,12036,34,42,24,1874,209
11-05-2013,45,79,12036,34,42,24,1882,209
12-05-2013,45,79,12036,34,42,24,1886,209
13-05-2013,45,79,12036,34,42,24,1889,209
14-05-2013,45,79,12036,34,42,24,1879,209
15-05-2013,45,79,12036,34,42,24,1879,209
16-05-2013,45,79,12036,34,42,24,1883,209
17-05-2013,45,79,12036,34,42,24,1874,209
18-05-2013,41,79,10998,38,47,24,1872,209
19-05-2013,41,79,10998,38,47,24,1870,209
20-05-2013,41,79,10998,38,47,24,1872,209
21-05-2013,41,79,10998,38,47,24,1884,209
22-05-2013,41,79,10998,38,47,24,1889,209
23-05-2013,41,79,10998,38,47,24,1893,208
24-05-2013,41,79,10998,38,47,24,1907,208
25-05-2013,41,79,10998,38,47,24,1902,208
26-05-2013,36,79,9753,43,53,24,1896,208
27-05-2013,36,79,9753,43,53,24,1878,208
28-05-2013,36,79,9753,43,53,24,1892,208
29-05-2013,36,79,9753,43,53,24,1890,208
30-05-2013,36,79,9753,43,53,24,1853,208
31-05-2013,36,79,9753,43,53,24,1869,208
01-06-2013,36,79,9546,43,54,24,1879,208
02-06-2013,36,79,9546,43,54,24,1873,208
03-06-2013,36,79,9546,43,54,24,1875,208
04-06-2013,36,79,9546,43,54,24,1875,208
05-06-2013,36,79,9546,43,54,24,1884,208
06-06-2013,36,79,9546,43,54,24,1889,208
07-06-2013,36,79,9546,43,54,24,1887,208
08-06-2013,36,79,9546,43,54,24,1894,208
09-06-2013,36,79,9546,43,54,24,1879,208
10-06-2013,36,79,9546,43,54,24,1862,208
11-06-2013,36,79,9753,43,53,24,1877,208
12-06-2013,36,79,9753,43,53,24,1890,208
13-06-2013,36,79,9753,43,53,24,1898,208
14-06-2013,37,80,9877,43,53,24,1897,208
